Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1.HK,1/3/2017,96.300003,96.099998,96.699997,95.400002,82.407097,4346458,,0.004171022,,,,,,,93.42666727,78.02199251,0.400001,0,0.507143286,0.142857143,94.1891697,93.15598394,1.03318576,0.644718962
1.HK,2/3/2017,96.199997,97.949997,97.949997,96,82.32151,6224875,,-0.001038484,,,,,,,93.7600006,76.40445083,0,0.100006,0.4857145,0.150000429,94.49852775,93.38146639,1.117061357,0.739187441
1.HK,3/3/2017,95.349998,95.800003,95.800003,95,81.594147,3499871,,-0.008835749,,,,,,,94.01666713,69.10993087,0,0.849999,0.471429,0.210714643,94.62952317,93.52728355,1.102239624,0.811797878
1.HK,6/3/2017,95.449997,95.900002,95.949997,94.550003,81.679726,3853734,,0.001048757,,,,,,,94.26666713,64.0243512,0.099999,0,0.375,0.210714643,94.75574992,93.66970677,1.086043148,0.866646932
1.HK,7/3/2017,96,96.199997,96.650002,95,82.150375,5646370,,0.005762211,,,,,,,94.456667,66.6666705,0.550003,0,0.414285929,0.207142929,94.94717301,93.84232108,1.104851924,0.91428793
1.HK,8/3/2017,96.400002,96.900002,96.900002,96.050003,82.492676,3250556,,0.004166687,,,,,,,94.67666727,70.4545142,0.400002,0,0.4428575,0.185714714,95.17068516,94.03177893,1.138906231,0.95921159
1.HK,9/3/2017,95.5,95.5,96.050003,94.900002,81.722519,3374201,,-0.00933612,,,,,,,94.85666707,61.95648854,0,0.900002,0.407143214,0.250000571,95.22134898,94.14053604,1.080812937,0.98353186
1.HK,10/3/2017,95.650002,95,96.099998,94.349998,81.850876,3026601,,0.001570702,,,,,,,95.01333367,66.10166197,0.150002,0,0.417857643,0.214286286,95.2872956,94.25234834,1.034947262,0.99381494
1.HK,13/3/2017,95.900002,95.949997,96,95.25,82.064812,3254015,,0.002613696,,,,,,,95.22000027,65.90907748,0.25,0,0.414286571,0.214286286,95.38155812,94.37439676,1.007161366,0.996484225
1.HK,14/3/2017,96.150002,96.400002,96.400002,95.849998,82.27874,3341638,,0.002606882,,,,,,,95.42333387,66.29211312,0.25,0,0.421429286,0.214286286,95.49978026,94.50592307,0.993857187,0.995958818
